contract_version,benchmark,benchmark_kind,target_id,candidate_id,method,label_metric,label,rank,selected,tie_group_size,labelled
1,casp15,prediction_pool,R1107,casp15_R1107TS285_3,hybrid,usalign_tm,,1,True,1,False
1,casp15,prediction_pool,R1107,casp15_R1107TS054_4,hybrid,usalign_tm,0.3681,2,True,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS125_5,hybrid,usalign_tm,0.2351,3,True,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS125_4,hybrid,usalign_tm,0.2396,4,True,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS416_2,hybrid,usalign_tm,,5,True,1,False
1,casp15,prediction_pool,R1107,casp15_R1107TS128_5,hybrid,usalign_tm,0.2402,6,False,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS232_5,hybrid,usalign_tm,0.4729,7,False,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS232_2,hybrid,usalign_tm,0.4984,8,False,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS054_3,hybrid,usalign_tm,0.3739,9,False,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS128_2,hybrid,usalign_tm,0.2885,10,False,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS232_3,hybrid,usalign_tm,,11,False,1,False
1,casp15,prediction_pool,R1107,casp15_R1107TS232_1,hybrid,usalign_tm,0.5644,12,False,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS054_2,hybrid,usalign_tm,0.3718,13,False,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS232_4,hybrid,usalign_tm,0.488,14,False,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS416_3,hybrid,usalign_tm,0.3898,15,False,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS054_1,hybrid,usalign_tm,0.3683,16,False,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS285_1,hybrid,usalign_tm,0.2447,17,False,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS125_1,hybrid,usalign_tm,0.3928,18,False,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS392_1,hybrid,usalign_tm,,19,False,1,False
1,casp15,prediction_pool,R1107,casp15_R1107TS054_5,hybrid,usalign_tm,0.3958,20,False,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS128_3,hybrid,usalign_tm,0.3972,21,False,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS285_2,hybrid,usalign_tm,,22,False,1,False
1,casp15,prediction_pool,R1107,casp15_R1107TS125_2,hybrid,usalign_tm,0.3924,23,False,1,True
1,casp15,prediction_pool,R1107,casp15_R1107TS285_4,hybrid,usalign_tm,,24,False,1,False
