target_id,method,candidate_sources,oracle_source,selected_top1_source,selected_top5_source_count,oracle_source_in_selected
R1107,hybrid,casp:105,casp,casp,1,True
R1107,contact,casp:105,casp,casp,1,True
R1107,low_clash,casp:105,casp,casp,1,True
R1107,compact,casp:105,casp,casp,1,True
R1107,plausibility,casp:105,casp,casp,1,True
R1108,hybrid,casp:109,casp,casp,1,True
R1108,contact,casp:109,casp,casp,1,True
R1108,low_clash,casp:109,casp,casp,1,True
R1108,compact,casp:109,casp,casp,1,True
R1108,plausibility,casp:109,casp,casp,1,True
R1116,hybrid,casp:145,casp,casp,1,True
R1116,contact,casp:145,casp,casp,1,True
R1116,low_clash,casp:145,casp,casp,1,True
R1116,compact,casp:145,casp,casp,1,True
R1116,plausibility,casp:145,casp,casp,1,True
R1117,hybrid,casp:148,casp,casp,1,True
R1117,contact,casp:148,casp,casp,1,True
R1117,low_clash,casp:148,casp,casp,1,True
R1117,compact,casp:148,casp,casp,1,True
R1117,plausibility,casp:148,casp,casp,1,True
R1126,hybrid,casp:140,casp,casp,1,True
R1126,contact,casp:140,casp,casp,1,True
R1126,low_clash,casp:140,casp,casp,1,True
R1126,compact,casp:140,casp,casp,1,True
R1126,plausibility,casp:140,casp,casp,1,True
R1128,hybrid,casp:137,casp,casp,1,True
R1128,contact,casp:137,casp,casp,1,True
R1128,low_clash,casp:137,casp,casp,1,True
R1128,compact,casp:137,casp,casp,1,True
R1128,plausibility,casp:137,casp,casp,1,True
R1136,hybrid,casp:158,casp,casp,1,True
R1136,contact,casp:158,casp,casp,1,True
R1136,low_clash,casp:158,casp,casp,1,True
R1136,compact,casp:158,casp,casp,1,True
R1136,plausibility,casp:158,casp,casp,1,True
R1138,hybrid,casp:130,casp,casp,1,True
R1138,contact,casp:130,casp,casp,1,True
R1138,low_clash,casp:130,casp,casp,1,True
R1138,compact,casp:130,casp,casp,1,True
R1138,plausibility,casp:130,casp,casp,1,True
R1149,hybrid,casp:138,casp,casp,1,True
R1149,contact,casp:138,casp,casp,1,True
R1149,low_clash,casp:138,casp,casp,1,True
R1149,compact,casp:138,casp,casp,1,True
R1149,plausibility,casp:138,casp,casp,1,True
R1156,hybrid,casp:145,casp,casp,1,True
R1156,contact,casp:145,casp,casp,1,True
R1156,low_clash,casp:145,casp,casp,1,True
R1156,compact,casp:145,casp,casp,1,True
R1156,plausibility,casp:145,casp,casp,1,True
